日期,现金,持仓市值,总权益,持仓数量,净值,历史高点,回撤
20250910,0.0,1010669.27,1010669.27,2,1.01066927,1.01066927,0.0
20250911,1075678.59,0.0,1075678.59,0,1.07567859,1.07567859,0.0
20250912,0.0,1096818.69,1096818.69,2,1.0968186899999999,1.0968186899999999,0.0
20250915,484967.66,651340.06,1136307.72,1,1.13630772,1.13630772,0.0
20250916,0.0,1210991.88,1210991.88,3,1.21099188,1.21099188,0.0
20250917,483492.89,788916.83,1272409.73,1,1.27240973,1.27240973,0.0
20250918,0.0,1356390.34,1356390.34,3,1.3563903400000001,1.3563903400000001,0.0
20250919,1224540.05,0.0,1224540.05,0,1.22454005,1.3563903400000001,-0.09720674507310334
20250922,-0.0,1259448.73,1259448.73,3,1.25944873,1.3563903400000001,-0.07147028929740107
20250923,1233112.85,0.0,1233112.85,0,1.2331128500000001,1.3563903400000001,-0.09088644055073403
20250924,0.0,1309945.27,1309945.27,2,1.30994527,1.3563903400000001,-0.03424166969517051
20250925,1238377.73,0.0,1238377.73,0,1.23837773,1.3563903400000001,-0.08700490302813568
20250926,0.0,1179818.64,1179818.64,3,1.17981864,1.3563903400000001,-0.1301776448806029
20250929,1165241.03,0.0,1165241.03,0,1.16524103,1.3563903400000001,-0.1409250009845987
20250930,1165241.03,0.0,1165241.03,0,1.16524103,1.3563903400000001,-0.1409250009845987
20251009,1165241.03,0.0,1165241.03,0,1.16524103,1.3563903400000001,-0.1409250009845987
20251010,1165241.03,0.0,1165241.03,0,1.16524103,1.3563903400000001,-0.1409250009845987
20251013,1165241.03,0.0,1165241.03,0,1.16524103,1.3563903400000001,-0.1409250009845987
20251014,0.0,1159591.01,1159591.01,2,1.15959101,1.3563903400000001,-0.14509048331913077
20251015,1147028.46,0.0,1147028.46,0,1.14702846,1.3563903400000001,-0.15435223462296266
20251016,0.0,1180842.04,1180842.04,3,1.1808420400000001,1.3563903400000001,-0.1294231423087251
20251017,715766.64,455708.21,1171474.84,1,1.1714748400000001,1.3563903400000001,-0.1363291189466891
20251020,455588.59,713132.82,1168721.41,2,1.1687214099999998,1.3563903400000001,-0.13835908769447613
20251021,772895.02,480555.38,1253450.39,1,1.2534503899999998,1.3563903400000001,-0.07589257086569956
20251022,449641.31,795132.58,1244773.89,2,1.2447738899999998,1.3563903400000001,-0.08228932830648172
20251023,796164.54,430061.21,1226225.75,1,1.22622575,1.3563903400000001,-0.0959639612296267
20251024,428987.59,751471.53,1180459.12,2,1.18045912,1.3563903400000001,-0.129705450423659
20251027,369629.28,865846.66,1235475.94,2,1.23547594,1.3563903400000001,-0.08914425031956519
20251028,874895.3,396543.85,1271439.15,1,1.27143915,1.3563903400000001,-0.0626303413514433
20251029,398689.4,875143.98,1273833.38,2,1.27383338,1.3563903400000001,-0.06086519312722338
